id_animal,data_obito,motivo_obito,morreu_fora_do_abrigo,eutanasiado,morto_ao_chegar
47702,None,Falecimento sob Cuidados,0,0,0
47703,None,Falecimento sob Cuidados,0,0,0
47703,None,Falecimento sob Cuidados,0,0,0
47704,None,Falecimento sob Cuidados,0,0,0
47707,None,Falecimento sob Cuidados,0,0,0
47707,None,Falecimento sob Cuidados,0,0,0
47708,None,Falecimento sob Cuidados,0,0,0
47708,None,Falecimento sob Cuidados,0,0,0
47710,None,Falecimento sob Cuidados,0,0,0
47712,None,Falecimento sob Cuidados,0,0,0
47712,None,Falecimento sob Cuidados,0,0,0
47712,None,Falecimento sob Cuidados,0,0,0
47714,None,Falecimento sob Cuidados,0,0,0
47715,None,Falecimento sob Cuidados,0,0,0
47715,None,Falecimento sob Cuidados,0,0,0
47717,None,Falecimento sob Cuidados,0,0,0
47717,None,Falecimento sob Cuidados,0,0,0
47718,None,Falecimento sob Cuidados,0,0,0
47718,None,Falecimento sob Cuidados,0,0,0
47721,None,Falecimento sob Cuidados,0,0,0
47721,None,Falecimento sob Cuidados,0,0,0
47724,None,Falecimento sob Cuidados,0,0,0
47724,None,Falecimento sob Cuidados,0,0,0
47724,None,Falecimento sob Cuidados,0,0,0
47725,None,Falecimento sob Cuidados,0,0,0
47727,None,Falecimento sob Cuidados,0,0,0
47727,None,Falecimento sob Cuidados,0,0,0
47728,None,Falecimento sob Cuidados,0,0,0
47730,None,Falecimento sob Cuidados,0,0,0
47733,None,Falecimento sob Cuidados,0,0,0
47735,None,Falecimento sob Cuidados,0,0,0
47736,None,Falecimento sob Cuidados,0,0,0
47737,None,Falecimento sob Cuidados,0,0,0
47738,None,Falecimento sob Cuidados,0,0,0
47740,None,Falecimento sob Cuidados,0,0,0
47741,None,Falecimento sob Cuidados,0,0,0
47742,2017-04-29 00:00:00,Intratavel / Ingerenciavel,1,0,0
47744,None,Falecimento sob Cuidados,0,0,0
47744,None,Falecimento sob Cuidados,0,0,0
47747,None,Falecimento sob Cuidados,0,0,0
47747,None,Falecimento sob Cuidados,0,0,0
47748,None,Falecimento sob Cuidados,0,0,0
47748,None,Falecimento sob Cuidados,0,0,0
47749,None,Falecimento sob Cuidados,0,0,0
47749,None,Falecimento sob Cuidados,0,0,0
47750,None,Falecimento sob Cuidados,0,0,0
47750,None,Falecimento sob Cuidados,0,0,0
47751,None,Falecimento sob Cuidados,0,0,0
47751,None,Falecimento sob Cuidados,0,0,0
47751,None,Falecimento sob Cuidados,0,0,0
47752,None,Falecimento sob Cuidados,0,0,0
47752,None,Falecimento sob Cuidados,0,0,0
47752,None,Falecimento sob Cuidados,0,0,0
47753,None,Falecimento sob Cuidados,0,0,0
47753,None,Falecimento sob Cuidados,0,0,0
47753,None,Falecimento sob Cuidados,0,0,0
47753,None,Falecimento sob Cuidados,0,0,0
47754,None,Falecimento sob Cuidados,0,0,0
47754,None,Falecimento sob Cuidados,0,0,0
47755,None,Falecimento sob Cuidados,0,0,0
47755,None,Falecimento sob Cuidados,0,0,0
47755,None,Falecimento sob Cuidados,0,0,0
47756,None,Falecimento sob Cuidados,0,0,0
47756,None,Falecimento sob Cuidados,0,0,0
47756,None,Falecimento sob Cuidados,0,0,0
47757,None,Falecimento sob Cuidados,0,0,0
47757,None,Falecimento sob Cuidados,0,0,0
47759,None,Falecimento sob Cuidados,0,0,0
47759,None,Falecimento sob Cuidados,0,0,0
