id_animal,data_entrada,motivo_entrada,transferencia,codigo_abrigo,localizacao,data_movimentacao,tipo_movimentacao,adocao_teste,data_retorno,motivo_retorno
56566,2017-07-11 08:15:26,Animal Errante,0,D1707717,Abrigo,2017-07-11 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
56567,2017-07-11 12:07:24,Animal Errante,0,C1707718,"Gatos Adotaveis, Canis",2017-07-20 00:00:00,Adocao,0.0,None,Animal Errante
56568,2017-07-11 12:16:28,Animal Errante,0,C1707719,"Cuidados Especiais, Gatos",2017-08-03 00:00:00,Adocao,0.0,None,Animal Errante
56569,2017-07-11 13:30:10,Animal Errante,0,C1707720,"Gatos Adotaveis, Canis",2017-07-21 00:00:00,Adocao,0.0,None,Animal Errante
56570,2017-07-11 15:03:59,Animal Errante,0,C1707721,"Bercario, Felinos",2017-07-29 00:00:00,Adocao,0.0,None,Animal Errante
56571,2017-07-11 15:36:02,Animal Errante,0,C1707722,"Gatos Adotaveis, Colonia Média",2017-08-14 00:00:00,Adocao,0.0,None,Animal Errante
56572,2017-07-11 16:20:32,Mudança,0,D1707686,Cães Adotaveis,2017-07-18 00:00:00,Adocao,0.0,2017-07-29 00:00:00,Incompativel com Estilo de Vida do Tutor
56572,2017-07-11 16:20:32,Mudança,0,D1707686,Cães Adotaveis,2017-09-03 00:00:00,Adocao,0.0,None,Animal Errante
56573,2017-07-11 17:38:01,Incompativel com Estilo de Vida do Tutor,0,C1707690,"Gatos Adotaveis, Canis",2017-08-07 00:00:00,Adocao,0.0,None,Animal Errante
56574,2017-07-11 17:53:54,Mudança,0,D1707691,Cães Adotaveis,2017-08-10 00:00:00,Adocao,0.0,None,Animal Errante
56575,2017-07-11 18:57:08,Animal Errante,0,D1707723,Abrigo,2017-07-12 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
56576,2017-07-12 11:39:30,Animal Errante,0,D1707724,Abrigo,2017-07-13 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
56577,2017-07-12 12:02:45,Entrega de Ninhada,0,C1707696,Check-in,2017-07-20 00:00:00,Adocao,0.0,None,Animal Errante
56578,2017-07-12 12:02:45,Entrega de Ninhada,0,C1707697,Check-in,2017-07-20 00:00:00,Adocao,0.0,None,Animal Errante
56579,2017-07-12 12:02:45,Entrega de Ninhada,0,C1707709,Check-in,2017-07-20 00:00:00,Adocao,0.0,None,Animal Errante
56580,2017-07-12 12:13:44,Animal Errante,0,C1707711,Gatos Errantes,2017-07-13 00:00:00,Recuperado pelo Tutor,0.0,2017-08-01 00:00:00,Animal Errante
56580,2017-07-12 12:13:44,Animal Errante,0,C1707711,Gatos Errantes,2017-08-04 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
56581,2017-07-12 12:42:10,Animal Errante,0,C1707725,Gatos Errantes,2017-07-15 00:00:00,Lar Temporario,0.0,2017-08-01 00:00:00,Animal Errante
56581,2017-07-12 12:42:10,Animal Errante,0,C1707725,Gatos Errantes,2017-10-02 00:00:00,Adocao,0.0,2017-11-28 00:00:00,Mordida
56581,2017-07-12 12:42:10,Animal Errante,0,C1707725,Gatos Errantes,2017-12-08 00:00:00,Transferencia,0.0,None,Animal Errante
56582,2017-07-12 12:47:54,Animal Errante,0,C1707726,"Gatos Adotaveis, Canis",2017-08-10 00:00:00,Lar Temporario,0.0,2017-08-19 00:00:00,Animal Errante
56582,2017-07-12 12:47:54,Animal Errante,0,C1707726,"Gatos Adotaveis, Canis",2017-08-24 00:00:00,Adocao,0.0,None,Animal Errante
56583,2017-07-12 12:55:16,Animal Errante,0,D1707727,Cães Adotaveis,2017-07-23 00:00:00,Adocao,0.0,None,Animal Errante
56584,2017-07-12 13:40:08,Entrega de Ninhada,0,C1707712,"Gatos Adotaveis, Canis",2017-08-07 00:00:00,Adocao,0.0,None,Animal Errante
56585,2017-07-12 13:40:08,Entrega de Ninhada,0,C1707713,"Gatos Adotaveis, Colonia Pequena",2017-08-26 00:00:00,Adocao,0.0,None,Animal Errante
56586,2017-07-12 13:40:08,Entrega de Ninhada,0,C1707714,Recepcao,2017-07-29 00:00:00,Adocao,0.0,None,Animal Errante
56587,2017-07-12 13:40:08,Entrega de Ninhada,0,C1707715,"Gatos Adotaveis, Colonia de Vidro",2017-07-24 00:00:00,Adocao,0.0,None,Animal Errante
56588,2017-07-12 13:40:08,Entrega de Ninhada,0,C1707716,"Gatos Adotaveis, Colonia de Vidro",2017-07-21 00:00:00,Adocao,0.0,None,Animal Errante
